C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev,WT.or.LOF.or.Auxin
351848.37,351184.82,361853.039,769.894,4881.971,Wildtype
351674.374,351930.43,356521.906,602.773,614.848,Wildtype
351570.4,352859.871,362561.861,466.493,5674.433,Wildtype
351134.012,351036.439,359860.254,183.842,2886.542,Wildtype
351109.021,351360.631,361267.338,167.853,3822.419,Wildtype
351398.069,351644.645,357813.031,366.516,1593.834,Wildtype
351459.286,354188.741,360805.554,438.119,4006.549,Wildtype
351697.622,351972.787,361428.549,571.765,4210.875,Wildtype
351557.483,354334.426,356442.369,500.906,570.668,Wildtype
NA,NA,358883.206,NA,2419.44,Wildtype
359096.725,351134.478,366618.609,3089.778,6538.915,Wildtype
357127.603,351375.077,358544.391,1672.526,96.498,Wildtype
360697.67,355160.342,367004.286,3820.95,5890.701,Wildtype
359971.152,352321.74,366719.944,2932.748,6325.109,Wildtype
356067.25,351369.07,358512.354,827.22,135.445,Wildtype
355299.434,350770.002,363371.483,352.927,3582.929,Wildtype
357439.743,351795.384,366985.965,2299.846,6359.427,Wildtype
358729.868,352072.897,368188.774,2636.806,6932.337,Wildtype
354903.828,350892.266,364948.475,13.325,3957.635,Wildtype
360490.297,355542.622,360356.183,4499.101,1608.663,Wildtype
358142.135,354196.35,358415.188,2233.831,0,Wildtype
359146.826,356189.218,NA,3095.03,NA,Wildtype
358210.169,352381.734,NA,2869.58,NA,Wildtype
359045.757,360061.141,NA,2531.934,NA,Wildtype
355760.588,352987.184,NA,552.3,NA,Wildtype
354982,352051.54,NA,148.895,NA,Wildtype
356795.047,354362.756,366165.761,2173.252,8615.265,Wildtype
355904.413,353845.098,360563.67,1643.706,3027.015,Wildtype
354685.884,350544.838,362112.546,528.015,4351.858,Wildtype
358603.25,353770.32,361677.973,2979.201,4152.69,Wildtype
354798.078,350497.683,358500.98,678.229,1678.623,Wildtype
357447.312,353950.929,359726.927,2442.074,2588.397,Wildtype
358708.93,353640.194,359260.445,3380.936,2247.048,Wildtype
356844.987,351973.775,362430.055,1955.052,4625.492,Wildtype
356180.925,351388.291,362821.043,1543.835,4829.894,Wildtype
355411.038,352403.817,362527.112,1321.082,4013.291,Wildtype
354262.303,353770.466,361621.979,269.982,3748.207,Wildtype
354227.919,350432.505,NA,299.257,NA,Wildtype
352518.428,351220.637,353379.975,989.854,414.036,Wildtype
353121.224,351439.895,353341.108,1442.966,448.322,Wildtype
352080.424,352228.609,353867.574,666.375,779.761,Wildtype
351965.644,351188.234,357317.257,431.382,3783.282,Wildtype
352653.097,351553.128,355469.919,1047.977,2038.91,Wildtype
352027.306,350997.734,353133.887,530.806,296.033,Wildtype
352455.771,351712.532,353092.767,847.911,246.552,Wildtype
352767.693,350627.202,354184.973,892.07,1004.581,Wildtype
351425.301,351795.043,353500.562,28.369,508.616,Wildtype
352507.487,350986.825,355140.461,860.935,1673.165,Wildtype
352466.211,351538.941,355393.262,741.455,1946.309,Wildtype
352080.422,350642.659,353154.73,630.303,258.852,Wildtype
351433.094,350220.135,354050.257,35.142,941.647,Wildtype
351639.135,351363.015,355709.395,156.145,2318.62,Wildtype
352536.147,350367.504,356384.641,878.573,3153.053,Wildtype
352294.558,351932.68,356086.987,772.573,2428.317,Wildtype
NA,NA,355545.187,NA,2099.323,Wildtype
NA,NA,352954.384,NA,173.46,Wildtype
355148.801,353511.005,357943.835,1624.534,1876.319,Wildtype
355211.562,352651.686,361656.515,2044.289,5085.882,Wildtype
355765.642,351700.08,357323.75,2148.185,1587.774,Wildtype
354410.915,351439.711,361432.529,1416.381,4831.938,Wildtype
355353.567,351802.658,360316.267,1756.672,4009.681,Wildtype
355365.228,350542.118,360094.99,1947.294,3822.105,Wildtype
356027.917,353720.908,359066.576,2202.301,2785.003,Wildtype
352755.198,350359.917,357214.784,20.329,1556.945,Wildtype
353249.17,352062.513,356813.731,331.298,1250.087,Wildtype
353147.625,351552.726,358156.424,298.05,2203.099,Wildtype
354805.109,352904.63,356233.974,1844.544,511.088,Wildtype
353798.377,351899.935,356223.919,1050.836,420.171,Wildtype
352390.107,351748.706,356599.478,145.016,639.917,Wildtype
354566.921,352005.626,357127.175,1734.703,1114.933,Wildtype
352496.81,350997.974,355758.263,209.355,316.042,Wildtype
352644.671,353028.381,360190.677,296.098,3625.883,Wildtype
353279.167,354011.161,356982.778,739.654,918.633,Wildtype
352395.97,351290.516,358227.365,171.006,1883.649,Wildtype
354727.44,353455.854,359506.062,1796.36,2849.009,Wildtype
352828.973,352582.35,360220.488,417.793,3431.41,Wildtype
353986.103,353634,361091.5,1354.17,4144.163,Wildtype
352252.268,350376.717,357484.287,57.269,1247.555,Wildtype
354101.112,354967.046,363414.223,1474.921,5756.48,Wildtype
352944.821,353183.076,362383.201,521.701,5418.503,Wildtype
352488.541,353511.761,NA,168.879,NA,Wildtype
352459.732,354215.252,NA,226.157,NA,Wildtype
353539.372,352204.595,NA,1009.357,NA,Wildtype
353629.599,351295.568,NA,980.485,NA,Wildtype
353133.476,354527.831,NA,648.785,NA,Wildtype
352303.2,350394.3,NA,63.511,NA,Wildtype
352230.272,355375.839,NA,39.678,NA,Wildtype
352296.84,350830.087,NA,91.231,NA,Wildtype
352268.903,358487.709,NA,63.551,NA,Wildtype
355770.022,352874.998,360543.975,2415.835,4328.723,Wildtype
354519.663,352436.879,358598.372,1432.992,2687.218,Wildtype
352813.022,350471.333,354962.812,254.651,0,Wildtype
354357.483,352024.194,357696.352,1337.076,1860.624,Wildtype
353837.373,356378.877,356639.529,1055.224,1247.844,Wildtype
352859.627,352449.802,360391.392,262.369,3762.104,Wildtype
352545.191,350429.91,355952.622,89.502,778.186,Wildtype
354471.154,351647.741,360687.117,1359.339,4233.758,Wildtype
354061.383,352984.327,356653.302,1298.802,1287.049,Wildtype
354490.006,352060.794,360560.568,1376.348,4393.21,Wildtype
352752.859,351197.407,355046.164,237.805,80.133,Wildtype
353432.576,355048.118,357777.51,662.045,1950.109,Wildtype
353746.235,351180.766,NA,911.025,NA,Wildtype
352440.069,350983.925,NA,42.702,NA,Wildtype
353299.91,351252.896,NA,605.751,NA,Wildtype
352891.657,354465.69,NA,325.956,NA,Wildtype
353706.811,350831.739,NA,940.924,NA,Wildtype
357376.207,354635.367,363838.327,2840.51,4907.635,Wildtype
357937.074,356432.124,364518.282,2561.201,6189.565,Wildtype
358922.139,352618.649,360045.52,3103.491,2263.033,Wildtype
355416.514,354123.981,361455.222,754.438,3497.025,Wildtype
356990.493,352343.016,362445.925,2013.423,4256.209,Wildtype
357278.299,355726.52,358266.286,2235.327,920.464,Wildtype
356885.819,353672.558,363165.75,1931.356,4900.143,Wildtype
358813.634,354553.318,362501.79,3328.603,4485.558,Wildtype
355328.202,350730.151,NA,781.617,NA,Wildtype
352911.797,352717.702,355859.29,1034.317,1125.406,Wildtype
353392.606,351925.244,356978.182,1311.749,2032.886,Wildtype
351740.22,350294.418,355058.599,136.586,639.093,Wildtype
352682.189,352951.485,356736.247,825.806,1688.557,Wildtype
353199.965,353624.159,355288.74,1307.523,701.963,Wildtype
352713.094,351749.723,355987.052,770.974,1150.899,Wildtype
351889.498,354304.826,355642.478,243.606,951.212,Wildtype
352479.289,353686.465,359702.834,737.544,4443.422,Wildtype
352699.696,351862.775,359309.854,802.282,4136.55,Wildtype
352376.646,352435.524,355177.806,568.188,524.248,Wildtype
352304.658,350311.546,359546.064,582.859,3988.016,Wildtype
352072.476,352767.161,355309.152,382.553,672.517,Wildtype
352452.63,351810.161,356783.415,663.726,1733.39,Wildtype
351825.192,352209.244,362551.999,180.14,7237.777,Wildtype
353487.716,350978.693,357511.028,1361.617,2362.923,Wildtype
353003.139,353100.95,357542.482,1207.399,2320.551,Wildtype
352020.934,352421.421,356554.871,365.571,1734.751,Wildtype
351886.493,352119.744,356342.97,226.928,1544.63,Wildtype
NA,NA,357281.656,NA,1973.385,Wildtype
352088.44,350935.339,351831.211,745.923,24.274,Wildtype
352369.105,350583.485,352330.351,1113.319,342.666,Wildtype
351043.173,350239.554,352705.844,59.937,728.885,Wildtype
351478.397,350915.82,352652.759,406.518,604.614,Wildtype
351378.415,351060.246,353497.894,316.831,1375.231,Wildtype
351761.944,351109.307,352300.51,570.544,384.604,Wildtype
351723.812,351118.916,353274.565,551.402,1075.248,Wildtype
351778.343,351015.269,353049.688,576.904,900.445,Wildtype
351680.637,350879.26,352938.92,465.704,842.959,Wildtype
351276.692,351459.104,352925.974,230.462,806.899,Wildtype
351268.054,351934.117,352277.367,208.294,372.378,Wildtype
351679.591,351743.319,352700.025,512.33,658.798,Wildtype
351418.108,352146.728,353116.176,314.17,1083.361,Wildtype
351932.841,351619.95,354616.335,721.03,2465.845,Wildtype
351522.236,351339.079,353514.136,371.138,1333.087,Wildtype
351528.069,350276.232,352556.93,398.022,482.507,Wildtype
351374.18,351084.493,352303.003,320.553,354.55,Wildtype
351977.785,351523.961,353863.832,861.689,1665.256,Wildtype
NA,NA,353091.379,NA,1007.066,Wildtype
NA,NA,353368.731,NA,1194.56,Wildtype
NA,NA,352967.834,NA,854.098,Wildtype
353062.062,352654.085,360328.701,730.174,2488.543,Wildtype
352799.44,353024.371,358899.695,503.871,1464.93,Wildtype
355171.958,354233.396,360364.604,2563.178,2549.103,Wildtype
353929.073,350511.478,360469.102,1377.222,2297.963,Wildtype
353176.935,351671.71,357828.117,734.728,866.525,Wildtype
352460.588,350893.316,364023.823,300.84,5200.795,Wildtype
354001.196,352210.873,357762.366,1338.253,640.424,Wildtype
353077.398,352661.077,358934.78,656.716,1519.176,Wildtype
352744.284,351242.318,365706.315,435.228,6580.354,Wildtype
353184.456,353915.145,358527.447,774.309,1265.127,Wildtype
354438.606,354961.085,360814.354,1605.02,2944.394,Wildtype
353759.627,353610.822,360872.73,1164.302,2781.472,Wildtype
352848.516,358706.253,363204.783,485.525,4493.604,Wildtype
NA,NA,367731.716,NA,8899.85,Wildtype
NA,NA,363469.286,NA,4990.684,Wildtype
NA,NA,359970.586,NA,1974.982,Wildtype
NA,NA,359675.132,NA,2148.462,Wildtype
352804.724,NA,350238.435,NA,NA,Loss of function
352633.905,NA,350210.148,NA,NA,Loss of function
353357.808,NA,350114.188,NA,NA,Loss of function
351431.047,NA,350248.973,NA,NA,Loss of function
352096.571,NA,350115.242,NA,NA,Loss of function
351408.479,NA,350142.709,NA,NA,Loss of function
351339.589,NA,350196.578,NA,NA,Loss of function
351395.956,NA,350152.694,NA,NA,Loss of function
351106.839,NA,350192.525,NA,NA,Loss of function
351460.116,NA,350292.308,NA,NA,Loss of function
