Area,Mean,StdDev,Circ.,AR,Round,Solidity,WT.or.LOF.or.Auxin
0.19,359087.66,3918.46,0.884,1.746,0.573,0.929,Wildtype
0.081,355874.623,1495.729,0.97,1.233,0.811,0.909,Wildtype
0.025,354601.542,403.592,1,1.125,0.889,0.933,Wildtype
0.139,357311.557,2623.076,0.957,1.514,0.66,0.922,Wildtype
0.251,357332.356,2370.996,0.911,1.584,0.631,0.949,Wildtype
0.061,355579.229,1198.314,0.994,1.203,0.831,0.919,Wildtype
0.011,353954.479,154.674,1,1.5,0.667,1,Wildtype
0.208,358186.975,3196.788,0.901,1.581,0.632,0.916,Wildtype
0.17,359336.43,4531.539,0.869,1.251,0.799,0.874,Wildtype
0.033,355246.542,566.055,1,1.248,0.801,0.947,Wildtype
0.058,356398.408,1545.066,1,1.177,0.85,0.901,Wildtype
0.103,357274.214,2177.427,0.985,1.446,0.692,0.919,Wildtype
0.078,357581.576,2437.894,1,1.088,0.919,0.945,Wildtype
0.146,356997.725,1881.09,0.861,1.856,0.539,0.92,Wildtype
0.13,357911.395,2726.944,0.929,1.4,0.714,0.9,Wildtype
0.065,356681.708,1641.709,1,1.186,0.843,0.935,Wildtype
0.013,354669.71,237.377,1,1.069,0.936,0.875,Wildtype
0.125,358374.652,2998.682,0.89,1.663,0.601,0.908,Wildtype
0.092,357505.024,2297.74,0.963,1.43,0.699,0.887,Wildtype
0.049,356746.663,1386.47,1,1.21,0.826,0.947,Wildtype
0.228,360371.625,4483.978,0.848,1.849,0.541,0.937,Wildtype
0.154,359280.168,3837.255,0.935,1.338,0.747,0.919,Wildtype
0.06,356213.455,1472.986,0.998,1.114,0.898,0.846,Wildtype
0.085,357232.319,2222.41,0.993,1.156,0.865,0.879,Wildtype
0.137,361853.039,4881.971,0.98,1.211,0.826,0.916,Wildtype
0.025,356521.906,614.848,0.993,1.264,0.791,0.848,Wildtype
0.159,362561.861,5674.433,0.954,1.125,0.889,0.903,Wildtype
0.083,359860.254,2886.542,0.992,1.496,0.668,0.939,Wildtype
0.157,361267.338,3822.419,0.779,1.883,0.531,0.853,Wildtype
0.051,357813.031,1593.834,1,1.144,0.874,0.889,Wildtype
0.134,360805.554,4006.549,0.92,1.431,0.699,0.902,Wildtype
0.107,361428.549,4210.875,0.959,1.361,0.734,0.894,Wildtype
0.02,356442.369,570.668,1,1.372,0.729,0.957,Wildtype
0.081,358883.206,2419.44,0.97,1.549,0.646,0.928,Wildtype
0.168,357051.128,2756.809,0.833,1.695,0.59,0.89,Wildtype
0.166,356769.284,2447.74,0.752,2.213,0.452,0.885,Wildtype
0.17,356021.836,1872.416,0.827,1.791,0.558,0.913,Wildtype
0.009,353623.912,77.736,1,1.553,0.644,0.909,Wildtype
0.094,355523.683,1388.493,0.846,1.871,0.534,0.86,Wildtype
0.141,356712.498,2365.187,0.858,1.902,0.526,0.918,Wildtype
0.072,354848.321,923.871,0.862,1.89,0.529,0.909,Wildtype
0.061,354580.796,707.438,0.919,1.704,0.587,0.895,Wildtype
0.011,353780.365,109.472,1,1.5,0.667,1,Wildtype
0.005,353654.125,109.487,1,1.464,0.683,0.857,Wildtype
0.23,359228.309,4441.716,0.772,2.206,0.453,0.907,Wildtype
0.108,356404.231,2145.073,0.849,1.749,0.572,0.882,Wildtype
0.08,366165.761,8615.265,0.847,1.543,0.648,0.907,Wildtype
0.28,360563.67,3027.015,0.675,2.553,0.392,0.886,Wildtype
0.094,362112.546,4351.858,1,1.076,0.929,0.92,Wildtype
0.108,361677.973,4152.69,0.993,1.172,0.853,0.93,Wildtype
0.052,358500.98,1678.623,0.977,1.276,0.784,0.906,Wildtype
0.089,359726.927,2588.397,0.943,1.246,0.803,0.899,Wildtype
0.072,359260.445,2247.048,1,1.368,0.731,0.93,Wildtype
0.166,362430.055,4625.492,0.932,1.675,0.597,0.939,Wildtype
0.134,362821.043,4829.894,0.969,1.391,0.719,0.937,Wildtype
0.235,362527.112,4013.291,0.715,2.703,0.37,0.919,Wildtype
0.134,361621.979,3748.207,0.9,1.702,0.587,0.943,Wildtype
0.08,350238.435,NA,NA,NA,NA,NA,Loss of function
0.069,350210.148,NA,NA,NA,NA,NA,Loss of function
0.005,350114.188,NA,NA,NA,NA,NA,Loss of function
0.089,350248.973,NA,NA,NA,NA,NA,Loss of function
0.007,350115.242,NA,NA,NA,NA,NA,Loss of function
0.018,350142.709,NA,NA,NA,NA,NA,Loss of function
0.051,350196.578,NA,NA,NA,NA,NA,Loss of function
0.027,350152.694,NA,NA,NA,NA,NA,Loss of function
0.051,350192.525,NA,NA,NA,NA,NA,Loss of function
0.069,350292.308,NA,NA,NA,NA,NA,Loss of function
0.087,350235.133,NA,NA,NA,NA,NA,Loss of function
0.042,350182.826,NA,NA,NA,NA,NA,Loss of function
0.045,350210.206,NA,NA,NA,NA,NA,Loss of function
0.047,350194.814,NA,NA,NA,NA,NA,Loss of function
0.025,350160.728,NA,NA,NA,NA,NA,Loss of function
0.007,350150.734,NA,NA,NA,NA,NA,Loss of function
0.011,350144.125,NA,NA,NA,NA,NA,Loss of function
0.069,350258.484,NA,NA,NA,NA,NA,Loss of function
0.007,350148.781,NA,NA,NA,NA,NA,Loss of function
0.065,350319.309,NA,NA,NA,NA,NA,Loss of function
0.004,350143.234,NA,NA,NA,NA,NA,Loss of function
