Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.018,357710.025,577.080,1.000,1.236,0.809,0.909
0.121,361774.578,3395.417,0.987,1.435,0.697,0.912
0.150,364355.171,5723.248,0.959,1.240,0.807,0.938
0.099,365227.694,5839.892,0.910,1.317,0.759,0.917
0.376,364280.961,5066.537,0.684,2.630,0.380,0.935
0.130,361000.871,2741.980,0.804,2.188,0.457,0.911
0.031,355478.004,621.909,1.000,1.263,0.792,0.919
0.096,357291.242,1908.042,0.975,1.358,0.737,0.938
0.083,357112.607,1945.976,0.992,1.281,0.781,0.920
0.027,355287.550,485.429,1.000,1.137,0.880,0.968
0.052,355815.356,1014.013,1.000,1.076,0.929,0.906
0.069,356589.206,1548.103,1.000,1.055,0.948,0.905
0.072,356575.769,1683.902,0.953,1.103,0.906,0.870
0.027,355421.223,595.566,1.000,1.137,0.880,0.968
0.042,355764.208,845.558,0.964,1.149,0.870,0.885
0.210,359526.005,3397.750,0.868,1.710,0.585,0.951
0.061,356491.433,1366.606,1.000,1.156,0.865,0.919
0.067,356214.906,1271.943,1.000,1.378,0.725,0.892
0.197,359531.610,4018.029,0.918,1.359,0.736,0.912
0.031,356999.460,1826.365,0.786,2.133,0.469,0.919
0.296,358147.992,2943.627,0.563,2.963,0.337,0.845
0.215,361714.403,5951.977,0.917,1.413,0.708,0.944
0.067,356521.332,1543.594,1.000,1.172,0.853,0.892
0.117,358685.020,3138.577,0.973,1.340,0.746,0.915
0.027,355104.354,525.045,1.000,1.127,0.887,0.857
0.137,356630.046,1524.890,0.866,1.883,0.531,0.899
0.170,358480.776,3082.140,0.909,1.427,0.701,0.895
0.166,359315.055,4007.678,0.920,1.172,0.853,0.889
0.157,358901.413,3366.697,0.943,1.503,0.665,0.916
0.361,358695.117,3435.326,0.519,3.414,0.293,0.830
0.067,356791.814,1515.978,1.000,1.187,0.842,0.937
0.201,359283.463,3207.426,0.845,1.766,0.566,0.914
0.089,356069.753,1116.638,0.943,1.605,0.623,0.925
0.027,355222.040,476.578,1.000,1.137,0.880,0.968
0.117,358187.477,2695.736,0.957,1.267,0.790,0.903
